0,K-Means,DBSCAN,MiniBatchKMeans,BisectingKMeans,AggCluAvarage,AggCluComplete,AggCluSingle,AggCluWard, Class
Gaia22ban,1.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,unknown
Gaia22bam,6.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,unknown
Gaia22bal,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,unknown
Gaia22baj,3.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,TDE
Gaia22bai,6.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,unknown
Gaia22azz,0.0,0.0,4.0,6.0,0.0,1.0,0.0,6.0,unknown
Gaia22azu,5.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,unknown
Gaia22azr,2.0,0.0,3.0,2.0,0.0,1.0,0.0,3.0,unknown
Gaia22azq,2.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,unknown
Gaia22azp,0.0,0.0,0.0,5.0,0.0,1.0,0.0,6.0,SN Ia
Gaia22azm,0.0,0.0,4.0,6.0,0.0,1.0,0.0,6.0,unknown
Gaia22azj,6.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,unknown
Gaia22azf,1.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,YSO
Gaia22aza,3.0,0.0,6.0,0.0,0.0,1.0,0.0,5.0,unknown
Gaia22ayx,3.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,unknown
Gaia22ayw,1.0,0.0,3.0,3.0,0.0,1.0,0.0,1.0,YSO
Gaia22ayv,5.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,unknown
Gaia22ayt,2.0,0.0,3.0,2.0,0.0,1.0,0.0,4.0,unknown
Gaia22ays,6.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,unknown
Gaia22ayl,3.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,unknown
