0,DBSCAN
Gaia22aja,-1
Gaia22aiz,-1
Gaia22aiy,-1
Gaia22aix,-1
Gaia22aiw,0
Gaia22aiu,0
Gaia22ait,0
Gaia22ais,0
Gaia22air,0
Gaia22aiq,0
Gaia22aip,-1
Gaia22aio,-1
Gaia22ain,0
Gaia22aim,-1
Gaia22ail,-1
Gaia22aik,0
Gaia22aih,0
Gaia22aig,0
Gaia22aif,0
Gaia22aie,0
Gaia22aid,0
Gaia22aib,-1
Gaia22ahy,-1
Gaia22ahw,0
Gaia22ahv,0
Gaia22ahs,0
Gaia22ahr,0
Gaia22ahq,-1
Gaia22ahp,0
Gaia22aho,0
Gaia22ahn,-1
Gaia22ahm,0
Gaia22ahl,0
Gaia22ahk,0
Gaia22ahj,0
Gaia22ahi,-1
Gaia22ahh,0
Gaia22ahf,0
Gaia22ahd,-1
Gaia22ahb,0
Gaia22agz,0
Gaia22agy,-1
Gaia22agx,0
Gaia22agw,0
Gaia22agv,0
Gaia22agu,0
Gaia22ags,0
Gaia22agp,0
Gaia22ago,-1
Gaia22agn,0
Gaia22agm,-1
Gaia22agk,0
Gaia22agj,-1
Gaia22agi,-1
Gaia22agg,0
Gaia22age,0
Gaia22agd,0
Gaia22agc,0
Gaia22agb,0
Gaia22aga,0
Gaia22afz,0
Gaia22afy,0
Gaia22afx,-1
Gaia22afw,-1
Gaia22afv,-1
Gaia22afu,0
Gaia22aft,-1
Gaia22afs,-1
Gaia22afr,0
Gaia22afp,0
Gaia22afn,0
Gaia22afm,0
Gaia22afl,0
Gaia22afj,-1
Gaia22afh,0
Gaia22afg,0
Gaia22aff,0
Gaia22afd,0
Gaia22afc,0
Gaia22afb,0
Gaia22aez,0
Gaia22aey,-1
Gaia22aex,0
Gaia22aew,0
Gaia22aev,0
Gaia22aeu,-1
Gaia22aet,0
Gaia22aes,0
Gaia22aer,-1
Gaia22aeq,-1
Gaia22aep,0
Gaia22aeo,-1
Gaia22aen,-1
Gaia22aem,-1
Gaia22ael,0
Gaia22aej,0
Gaia22aeh,-1
Gaia22aeg,0
Gaia22aef,0
Gaia22aee,0
Gaia22aed,-1
Gaia22aec,-1
Gaia22aeb,0
Gaia22aea,0
Gaia22adz,0
Gaia22ady,0
Gaia22adx,0
Gaia22adw,-1
Gaia22adv,-1
Gaia22adt,0
Gaia22adr,0
Gaia22adp,0
Gaia22ado,0
Gaia22adn,-1
Gaia22adm,0
Gaia22adl,0
Gaia22adk,0
Gaia22adh,0
Gaia22adg,0
Gaia22adf,-1
Gaia22ade,0
Gaia22add,0
Gaia22adc,0
Gaia22ada,0
Gaia22acz,-1
Gaia22acy,-1
Gaia22acx,-1
Gaia22acw,-1
Gaia22acv,0
Gaia22acu,0
Gaia22act,0
Gaia22acs,0
Gaia22acp,0
Gaia22aco,0
Gaia22acn,-1
Gaia22acm,0
Gaia22acl,0
Gaia22ack,0
Gaia22aci,0
Gaia22ach,0
Gaia22acf,-1
Gaia22ace,0
Gaia22acd,0
Gaia22acc,26
Gaia22acb,0
Gaia22aby,-1
Gaia22abx,-1
Gaia22abw,-1
Gaia22abv,-1
Gaia22abs,-1
Gaia22abr,0
Gaia22abq,0
Gaia22abp,-1
Gaia22abo,0
Gaia22abn,-1
Gaia22abm,-1
Gaia22abl,0
Gaia22abi,0
Gaia22abh,0
Gaia22abg,0
Gaia22abf,-1
Gaia22abe,0
Gaia22abd,0
Gaia22abb,0
Gaia22aaz,0
Gaia22aay,0
Gaia22aax,0
Gaia22aaw,0
Gaia22aav,0
Gaia22aau,0
Gaia22aat,-1
